Controlador de execução do SIMAN.

0.0010684802 Horas>
                                      ARENA Simulation Results
                                     Matheus - License: STUDENT

                                  Sumário para Replicação 1 de 1

Projeto: Unnamed Project                                             Data da execução :11/24/2018
Analista: Bernardelli                                                 Data de revisão do modelo:11/24/2018

Replicação terminada no tempo de      : 0.0010684802 Horas 
Unidade de Tempo Base: Horas

                                           VARIÁVEIS DE REGISTRO

Identificador                                  Média   Meia Largura  Mínimo    Máximo   Observações
___________________________________________________________________________________________________

CPU 10 Accum Wait Time                      2.2225E-06
CPU 3 Number Out                            .00000    
CPU 21 Total Accum Time                     7.6484E-05
CPU 21 Accum Wait Cost                      .00000    
CPU 20 Total Accum Time                     7.1120E-05
CPU 20 Accum Wait Cost                      .00000    
CPU 5 Number In                             .00000    
CPU 9 Accum Wait Time                       .00000    
CPU 21 Accum VA Cost                        .00000    
CPU 20 Accum VA Cost                        .00000    
CPU 4 Accum Wait Time                       .00000    
CPU 21 Accum VA Time                        7.3832E-05
CPU 20 Accum VA Time                        6.8658E-05
CPU 19 Number In                            3205.0    
CPU 18 Number In                            3273.0    
CPU 17 Number In                            3134.0    
CPU 16 Number In                            3209.0    
CPU 15 Number In                            3315.0    
CPU 14 Number In                            3155.0    
CPU 13 Number In                            3148.0    
CPU 12 Number In                            3339.0    
CPU 11 Number In                            3113.0    
CPU 10 Number In                            3164.0    
CPU 19 Number Out                           3205.0    
CPU 18 Number Out                           3273.0    
CPU 17 Number Out                           3134.0    
CPU 16 Number Out                           3209.0    
CPU 15 Number Out                           3315.0    
CPU 14 Number Out                           3153.0    
CPU 13 Number Out                           3148.0    
CPU 12 Number Out                           3339.0    
CPU 11 Number Out                           3113.0    
CPU 10 Number Out                           3164.0    
CPU 7 Accum Wait Cost                       .00000    
CPU 21 Total Accum Cost                     .00000    
CPU 20 Total Accum Cost                     .00000    
CPU 7 Total Accum Cost                      .00000    
CPU 2 Accum VA Cost                         .00000    
CPU 9 Total Accum Time                      .00000    
CPU 7 Accum VA Time                         .00000    
CPU 19 Total Accum Cost                     .00000    
CPU 18 Total Accum Cost                     .00000    
CPU 17 Total Accum Cost                     .00000    
CPU 16 Total Accum Cost                     .00000    
CPU 15 Total Accum Cost                     .00000    
CPU 14 Total Accum Cost                     .00000    
CPU 13 Total Accum Cost                     .00000    
CPU 12 Total Accum Cost                     .00000    
CPU 11 Total Accum Cost                     .00000    
CPU 10 Total Accum Cost                     .00000    
CPU 7 Number In                             .00000    
CPU 9 Accum VA Time                         .00000    
CPU 1 Total Accum Cost                      .00000    
CPU 8 Number In                             .00000    
CPU 1 Accum Wait Time                       .00000    
CPU 8 Accum Wait Cost                       .00000    
Fluxos de Dados.NumberIn                    9618.0    
Fluxos de Dados.NumberOut                   9616.0    
Máquina Iniciador.NumberSeized              .00000    
Máquina Iniciador.ScheduledUtilization      .00000    
Máquina Iniciador.BusyCost                  .00000    
Máquina Iniciador.IdleCost                  .00000    
